title,year,duration,rating,directors,stars
Jaws,1975,2h 4m,8.1,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss"
In the Name of the Father,1993,2h 13m,8.1,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite, Anthony Brophy"
Ford v Ferrari,2019,2h 32m,8.1,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal"
Wild Tales,2014,2h 2m,8.1,Damián Szifron,"Darío Grandinetti, María Marull, Mónica Villa"
The Gold Rush,1925,1h 35m,8.1,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray"
Sherlock Jr.,1924,45m,8.1,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton"
Mary and Max,2009,1h 32m,8.1,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Eric Bana"
The Deer Hunter,1978,3h 3m,8.1,Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale"
The Wages of Fear,1953,2h 36m,8.1,Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Peter van Eyck"
The General,1926,1h 18m,8.1,"Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender"
Logan,2017,2h 17m,8.1,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen"
Smith Goes to Washington,1939,2h 9m,8.1,Frank Capra,"James Stewart, Jean Arthur, Claude Rains"
Rocky,1976,2h,8.1,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young"
On the Waterfront,1954,1h 48m,8.1,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb"
Tokyo Story,1953,2h 17m,8.1,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura"
Wild Strawberries,1957,1h 32m,8.1,Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom"
The Third Man,1949,1h 44m,8.1,Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli"
Spotlight,2015,2h 9m,8.1,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams"
Maharaja,2024,2h 21m,8.3,Nithilan Saminathan,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas"
La haine,1995,1h 38m,8.1,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui"
The Terminator,1984,1h 47m,8.1,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn"
Jai Bhim,2021,2h 44m,8.6,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K."
The Big Lebowski,1998,1h 57m,8.1,"Joel Coen, Ethan Coen","Jeff Bridges, John Goodman, Julianne Moore"
The Sound of Music,1965,2h 54m,8.1,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker"
The Seventh Seal,1957,1h 36m,8.1,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot"
Room,2015,1h 58m,8.1,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers"
The Best Years of Our Lives,1946,2h 50m,8.1,William Wyler,"Myrna Loy, Dana Andrews, Fredric March"
A Silent Voice: The Movie,2016,2h 10m,8.2,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yûki"
Platoon,1986,2h,8.1,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe"
Hotel Rwanda,2004,2h 1m,8.1,Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix"
Before Sunset,2004,1h 20m,8.1,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff"
The Incredibles,2004,1h 55m,8.0,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter"
The Exorcist,1973,2h 2m,8.1,William Friedkin,"Ellen Burstyn, Max von Sydow, Linda Blair"
Hachi: A Dog's Tale,2009,1h 33m,8.1,Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa"
The Wizard of Oz,1939,1h 42m,8.1,Victor Fleming,"Judy Garland, Frank Morgan, Ray Bolger"
Rush,2013,2h 3m,8.1,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde"
The Passion of Joan of Arc,1928,1h 54m,8.1,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley"
Stand by Me,1986,1h 29m,8.1,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman"
The Iron Giant,1999,1h 26m,8.1,Brad Bird,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston"
My Father and My Son,2005,1h 52m,8.2,Çagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra"
The Battle of Algiers,1966,2h 1m,8.1,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi"
The Handmaiden,2016,2h 25m,8.1,Park Chan-wook,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong"
Network,1976,2h 1m,8.1,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch"
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1h 57m,8.2,Haruo Sotozaki,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka"
Gangs of Wasseypur,2012,5h 21m,8.2,Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia"
The Grapes of Wrath,1940,2h 9m,8.1,John Ford,"Henry Fonda, Jane Darwell, John Carradine"
Drishyam,2015,2h 43m,8.2,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu"
To Be or Not to Be,1942,1h 39m,8.1,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack"
Lost Ladies,2023,2h 2m,8.3,Kiran Rao,"Nitanshi Goel, Pratibha Ranta, Sparsh Shrivastava"
Autumn Sonata,1978,1h 39m,8.1,Ingmar Bergman,"Ingrid Bergman, Liv Ullmann, Lena Nyman"
