title,year,rating,directors,stars,durasi_menit
Avengers: Endgame,2019,8.4,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo",181
Amadeus,1984,8.4,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge",160
Good Will Hunting,1997,8.3,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck",126
Toy Story,1995,8.3,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles",81
Your Name.,2016,8.4,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryo Narita",106
Das Boot,1981,8.4,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann",149
Oldboy,2003,8.3,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong",120
Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden",95
Braveheart,1995,8.3,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan",178
Princess Mononoke,1997,8.3,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka",133
American Beauty,1999,8.3,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch",122
3 Idiots,2009,8.4,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh",170
Capernaum,2018,8.4,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole",126
Joker,2019,8.3,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz",122
Once Upon a Time in America,1984,8.3,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern",229
Singin' in the Rain,1952,8.3,"Stanley Donen, Gene Kelly","Gene Kelly, Donald O'Connor, Debbie Reynolds",103
Come and See,1985,8.3,Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius",142
Requiem for a Dream,2000,8.3,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly",102
Star Wars: Episode VI - Return of the Jedi,1983,8.3,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher",131
Toy Story 3,2010,8.3,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack",103
The Hunt,2012,8.3,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp",115
Ikiru,1952,8.3,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",143
Eternal Sunshine of the Spotless Mind,2004,8.3,Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson",108
Incendies,2010,8.3,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",131
The Apartment,1960,8.3,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray",125
Lawrence of Arabia,1962,8.3,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn",227
2001: A Space Odyssey,1968,8.3,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester",149
Reservoir Dogs,1992,8.3,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen",99
Scarface,1983,8.3,Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer",170
Heat,1995,8.3,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",170
Double Indemnity,1944,8.3,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson",107
